"Movie Title","Review","Review Score","Genres" "Actors"
"argo_2012","This is a well made and well acted movie. The entire cast did an amazing job and not only does Affleck stand out, but Goodman & Arkin are amazing together & Bryan Cranston is great in anything he does. Great telling of an international event.","45","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Great movie - It 's smart and intense. It's made even better because it's actually based on a true story.","45","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","With his third remarkable feature film, Ben Affleck shines both as a director and actor in this tense, exciting and darkly humorous story with attention to detail and fine characters.","40","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Very suspenseful and gripping with a almost unbelievable true story","40","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Amazing. Camerawork can be dizzying at times, but the acting and execution were overall brilliant. Made the audience laugh and cry.","45","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","This movie is awesome. In my top 5. Very, very suspenseful.","50","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Finally got around to watching this film, should have done so sooner. Stellar performances by Cranston, Arkin, Goodman & of course Affleck. The film didn't rush any of its acts, it instead took its time to build up tension & anticipation for the final act. Affleck proves again his great directing abilities.","50","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Another really well done movie by Affleck. What a talent the guy is. Story about a group of people in the U.S. embassy who need to escape Iran during a major revolution. Historically its great because you really feel likes its 1979. Casting Alan Arkin was great for some comic relief. Good movie.","40","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","The writing, the music and the suspense is all really well put together and that is a credit to Affleck, George Clooney and Chris Terrio. They blended a lot of the real-life events that happened, including the secret award Mendez received for his efforts, and passing on credit to the Canadians (their fake-movie was a Canadian film) before it became declassified until the late 90s. The only criticism I have of it is I believed it took too long setting up, and not enough time showing their struggles when in Iran, but that's simply nit-picking. Argo is a very good film, and one deserving of its Oscar win.","40","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Argo is a cinematic landmark and a triumph of Affleck's career as a director to be absolutely masterful.","50","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","What I love about Ben Affleck's 'Argo' is that it is a movie that maintains a breakneck intensity upon every viewing. I was always captivated by the story and was constantly just wondering how these people were going to escape. This a great thriller that is equal parts a great drama. Affleck delivers in both acting and directing. He builds the tension so naturally and does a stellar job directing the film. It is one of those movies I can just watch over and over againa and truly enjoy it. The story is captivating, the tension is nail biting, and the movie even delivers some good humorous moments. It's the complete package and is a must see movie.","50","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","An interesting historical drama dealing with conflicts between USA and Iran. Good acting and some tense moments towards the end cover for some of the slower filler scenes. AAW GGWD. 1001","35","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Alan Arkin and John Goodman are the best things in this one. I think I liked Ben Affleck's beard more than the story","30","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Tense and thrilling, Argo will keep you on the edge of your seat. Ben Affleck is unflappable and the drama will satisfy moviegoers.","40","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","great story suitable movie","35","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Suspenseful and surprisingly well done.","45","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","The good Americans save other good Americans against the very wicked bearded Muslims fanatics. US state propaganda film that predicts the bombing of Iran (after bombing Iraq).","05","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Well directed, good writing, and impacting visuals.","45","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Affleck's magnum opus. A story that is expertly told, visually stunning, and as filled with tension as one can possibly handle.","50","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Interesting, but not overly impressive. Also, the film's historical inaccuracies are heavily overlooked.","35","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","'an oscar thriller. intense.'","30","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","The movie was really breath taking and had some stressful moments. I expected quite too much of this movie (some critics considered this movie as fabulous). Actually, the movie was great, but had some lacks. That's why it shouldn't win the oscars for the best picture ...","35","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","An interesting movie that did not deserve Best Picture (Django? Lincoln?) but won it through another bout of Hollywood's self-fellating ego.","30","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","fabulous film. masses of suspense. right up to the end. incredible that it's actually based on a true story!","45","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
